,Amazon Echo,Awair air quality monitor,Belkin Motion Sensor,Belkin Switch,Dropcam,Google Chromecast,HP Printer,LiFX Bulb,NEST Smoke Sensor,Netatmo Camera,Netatmo Weather station,Phillip Hue Lightbulb,Pixstart photo frame,Samsung Smart Cam,Smart Things,TP-Link Camera,TP-Link Plug,Triby Speaker,Unknown,Withings,Withings Scale,Withings sleep sensor,iHome PowerPlug
Amazon Echo,95.97285067873304,0.0,0.04524886877828054,0.0,0.0,0.018099547511312215,0.0,0.018099547511312215,0.0,2.669683257918552,0.0,0.027149321266968326,0.009049773755656108,0.05429864253393665,0.0,0.0,0.0,0.0,1.1764705882352942,0.009049773755656108,0.0,0.0,0.0
Awair air quality monitor,9.523809523809524,57.14285714285714,0.0,0.0,0.0,11.904761904761903,0.0,9.523809523809524,0.0,7.142857142857142,0.0,0.5952380952380952,0.0,0.0,0.0,0.0,0.0,1.1904761904761905,2.976190476190476,0.0,0.0,0.0,0.0
Belkin Motion Sensor,3.825136612021858,0.0,11.475409836065573,15.846994535519126,0.0,0.0,2.185792349726776,0.0,0.0,1.092896174863388,0.0,0.0,0.0,6.0109289617486334,0.0,0.0,0.546448087431694,0.0,57.377049180327866,0.0,1.639344262295082,0.0,0.0
Belkin Switch,7.936507936507936,3.1746031746031744,4.761904761904762,44.44444444444444,0.0,0.0,1.5873015873015872,0.0,0.0,4.761904761904762,0.0,0.0,0.0,1.5873015873015872,0.0,0.0,0.0,1.5873015873015872,25.396825396825395,0.0,4.761904761904762,0.0,0.0
Dropcam,3.5294117647058822,2.3529411764705883,0.0,0.0,77.64705882352942,0.0,0.0,1.1764705882352942,0.0,9.411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.88235294117647,0.0,0.0,0.0,0.0
Google Chromecast,17.142857142857142,0.0,0.0,0.0,0.0,25.71428571428571,0.0,2.857142857142857,0.0,8.571428571428571,0.0,0.0,0.0,2.857142857142857,0.0,0.0,0.0,0.0,42.857142857142854,0.0,0.0,0.0,0.0
HP Printer,0.0,0.0,5.555555555555555,0.0,0.0,0.0,61.111111111111114,0.0,0.0,11.11111111111111,0.0,0.0,0.0,11.11111111111111,0.0,0.0,0.0,5.555555555555555,5.555555555555555,0.0,0.0,0.0,0.0
LiFX Bulb,0.3064798598949212,0.043782837127845885,0.043782837127845885,0.0,0.0,0.0,0.0,98.9492119089317,0.0,0.2626970227670753,0.0,0.0,0.0,0.0,0.043782837127845885,0.043782837127845885,0.043782837127845885,0.0,0.2626970227670753,0.0,0.0,0.0,0.0
NEST Smoke Sensor,0.0,0.0,2.0408163265306123,0.0,0.0,0.0,6.122448979591836,0.0,73.46938775510205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.081632653061225,0.0,14.285714285714285,0.0,0.0
Netatmo Camera,0.631911532385466,0.105318588730911,0.421274354923644,0.0,0.0,0.0,0.0526592943654555,0.105318588730911,0.0,95.10268562401264,0.0,0.1579778830963665,0.0526592943654555,0.0,0.0526592943654555,0.0,0.210637177461822,0.0,3.1068983675618744,0.0,0.0,0.0,0.0
Netatmo Weather station,0.0,0.0,0.0,0.0,0.0,0.0,0.1589825119236884,0.0,0.0,0.0,99.52305246422894,0.0,0.0,0.0,0.0,0.0,0.3179650238473768,0.0,0.0,0.0,0.0,0.0,0.0
Phillip Hue Lightbulb,0.6329113924050633,0.0,0.6329113924050633,0.0,0.0,0.0,0.0,0.0,0.0,48.734177215189874,0.0,34.810126582278485,0.0,0.0,0.0,0.0,0.0,0.0,2.5316455696202533,6.329113924050633,0.0,6.329113924050633,0.0
Pixstart photo frame,0.0,0.0,0.0,0.0,0.0,0.8695652173913043,0.0,0.0,0.0,1.7391304347826086,0.0,0.0,96.52173913043478,0.0,0.0,0.0,0.0,0.0,0.8695652173913043,0.0,0.0,0.0,0.0
