,Amazon Echo,Awair air quality monitor,Belkin Motion Sensor,Belkin Switch,Dropcam,Google Chromecast,HP Printer,LiFX Bulb,NEST Smoke Sensor,Netatmo Camera,Netatmo Weather station,Phillip Hue Lightbulb,Pixstart photo frame,Samsung Smart Cam,Smart Things,TP-Link Camera,TP-Link Plug,Triby Speaker,Unknown,Withings,Withings Scale,Withings sleep sensor,iHome PowerPlug
Amazon Echo,10699,2,1,0,4,3,0,6,0,149,0,10,0,6,1,1,0,2,165,1,0,0,0
Awair air quality monitor,8,135,1,0,0,2,0,15,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0
Belkin Motion Sensor,0,0,158,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
Belkin Switch,2,3,7,41,1,0,0,0,0,1,0,0,0,0,0,0,0,1,7,0,0,0,0
Dropcam,3,0,0,3,68,1,0,1,0,4,0,0,0,0,0,0,0,0,5,0,0,0,0
Google Chromecast,5,0,0,1,0,11,0,1,0,1,0,0,0,1,0,1,0,0,14,0,0,0,0
HP Printer,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
LiFX Bulb,4,7,0,0,0,0,0,2268,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0
NEST Smoke Sensor,0,0,0,0,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Netatmo Camera,125,2,2,0,1,0,0,3,0,1631,0,68,0,2,7,2,14,4,38,0,0,0,0
Netatmo Weather station,0,0,0,0,0,0,0,0,0,0,629,0,0,0,0,0,0,0,0,0,0,0,0
Phillip Hue Lightbulb,5,0,0,0,0,0,0,0,0,54,0,76,0,0,1,0,1,0,3,11,0,7,0
Pixstart photo frame,0,0,0,0,0,0,0,0,0,1,0,0,113,0,0,0,0,0,1,0,0,0,0
Samsung Smart Cam,6,0,3,0,1,0,4,2,0,6,0,6,0,1128,0,0,0,1,7,1,0,3,0
Smart Things,2,0,0,0,0,0,0,2,0,5,0,0,0,0,948,0,1,0,0,0,0,0,0
TP-Link Camera,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,118,0,0,4,0,0,0,0
TP-Link Plug,2,0,0,0,1,0,0,2,0,16,0,1,0,0,0,0,41,0,2,0,0,0,0
Triby Speaker,1,0,0,0,0,0,0,0,0,3,0,1,0,3,0,0,0,152,13,0,0,0,0
Unknown,195,7,1,3,2,8,1,0,0,55,0,2,3,4,1,1,2,7,12976,1,0,0,0
Withings,3,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,454,0,56,0
Withings Scale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0
Withings sleep sensor,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,4,79,0,556,0
iHome PowerPlug,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
