,Amazon Echo,Awair air quality monitor,Belkin Motion Sensor,Belkin Switch,Dropcam,Google Chromecast,HP Printer,LiFX Bulb,NEST Smoke Sensor,Netatmo Camera,Netatmo Weather station,Phillip Hue Lightbulb,Pixstart photo frame,Samsung Smart Cam,Smart Things,TP-Link Camera,TP-Link Plug,Triby Speaker,Unknown,Withings,Withings Scale,Withings sleep sensor,iHome PowerPlug
Amazon Echo,96.33484162895928,0.018099547511312215,0.0,0.0,0.027149321266968326,0.018099547511312215,0.0,0.1085972850678733,0.0,2.4072398190045248,0.0,0.0,0.0,0.03619909502262443,0.009049773755656108,0.009049773755656108,0.0,0.0,1.0316742081447963,0.0,0.0,0.0,0.0
Awair air quality monitor,4.761904761904762,79.76190476190477,0.0,0.0,0.0,0.5952380952380952,0.0,8.333333333333332,0.0,1.7857142857142856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.976190476190476,1.7857142857142856,0.0,0.0,0.0,0.0
Belkin Motion Sensor,0.0,0.0,76.50273224043715,20.21857923497268,0.0,0.0,0.546448087431694,0.0,0.0,1.639344262295082,0.0,0.0,0.0,1.092896174863388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Belkin Switch,0.0,4.761904761904762,11.11111111111111,66.66666666666666,1.5873015873015872,0.0,0.0,0.0,0.0,4.761904761904762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11111111111111,0.0,0.0,0.0,0.0
Dropcam,7.0588235294117645,0.0,0.0,3.5294117647058822,72.94117647058823,1.1764705882352942,0.0,1.1764705882352942,0.0,8.235294117647058,0.0,0.0,0.0,1.1764705882352942,0.0,0.0,0.0,0.0,4.705882352941177,0.0,0.0,0.0,0.0
Google Chromecast,17.142857142857142,0.0,0.0,0.0,2.857142857142857,20.0,0.0,2.857142857142857,0.0,5.714285714285714,0.0,0.0,0.0,2.857142857142857,0.0,0.0,0.0,0.0,48.57142857142857,0.0,0.0,0.0,0.0
HP Printer,0.0,0.0,0.0,0.0,0.0,0.0,83.33333333333334,0.0,0.0,5.555555555555555,0.0,0.0,0.0,5.555555555555555,0.0,0.0,0.0,0.0,5.555555555555555,0.0,0.0,0.0,0.0
LiFX Bulb,0.3064798598949212,0.2626970227670753,0.0,0.0,0.0,0.0,0.0,98.861646234676,0.0,0.21891418563922943,0.0,0.0,0.0,0.0,0.043782837127845885,0.0,0.043782837127845885,0.0,0.2626970227670753,0.0,0.0,0.0,0.0
NEST Smoke Sensor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.87755102040816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.122448979591836,0.0,0.0
Netatmo Camera,1.2111637704054765,0.0526592943654555,0.1579778830963665,0.0526592943654555,0.0,0.0,0.0,0.210637177461822,0.0,95.41864139020537,0.0,0.0,0.0,0.210637177461822,0.8952080042127435,0.0,0.105318588730911,0.0526592943654555,1.6324381253291207,0.0,0.0,0.0,0.0
